dataset,backbone,supervision_type,seed,guard_jobid,source_dir,run_id,dataset_name,split,domain,student_name,student_backbone,train_method,msp_threshold,n_confident,n_failures,failure_rate,failure_cutoff,failure_label,msp_auroc,msp_ap,entropy_auroc,entropy_ap,temp_msp_auroc,temp_msp_ap,mc_dropout_auroc,mc_dropout_ap,guardrail_auroc,guardrail_ap,dense_bce_auroc,dense_bce_ap,dense_gap_auroc,dense_gap_ap,oracle_auroc,oracle_ap
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,95,16,0.1684210526315789,0.7055055037253506,top20,0.5688291139240507,0.1969225222190295,0.5767405063291139,0.2099251075383652,0.5783227848101266,0.2300776094539549,0.5783227848101266,0.210066335865577,0.6068037974683543,0.3436600112600021,0.5498417721518988,0.2596995686528278,0.6068037974683543,0.3436600112600021,0.613132911392405,0.2108417161131499
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,23,1,0.0434782608695652,0.7055055037253506,top20,0.1818181818181817,0.0526315789473684,0.1363636363636363,0.05,0.1363636363636363,0.05,0.1363636363636363,0.05,0.3636363636363636,0.0666666666666666,0.5454545454545454,0.0909090909090909,0.3636363636363636,0.0666666666666666,0.6363636363636364,0.1111111111111111
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_snow,acdc,val,snow,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,97,19,0.1958762886597938,0.7663737147115097,top20,0.6599190283400809,0.3948637340828623,0.6653171390013495,0.4108002016695563,0.6767881241565453,0.4248015440222124,0.6639676113360323,0.408429139619636,0.7584345479082321,0.5010113687722689,0.7408906882591093,0.5197345722378743,0.7584345479082321,0.5010113687722689,0.7591093117408907,0.3685211589846389
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_snow,acdc,val,snow,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,79,11,0.1392405063291139,0.7663737147115097,top20,0.516042780748663,0.2251870590216932,0.5227272727272727,0.2704160285589632,0.5481283422459894,0.2318511553003476,0.5213903743315507,0.2677931771556239,0.6885026737967915,0.4658172605877392,0.6497326203208557,0.4888047897347207,0.6885026737967915,0.4658172605877392,0.820855614973262,0.3858440664942213
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_snow,acdc,val,snow,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,31,4,0.1290322580645161,0.7663737147115097,top20,0.1481481481481482,0.0951949620427881,0.1481481481481482,0.0951949620427881,0.1388888888888889,0.0943616287094548,0.1481481481481482,0.0951949620427881,0.4351851851851852,0.1810321350762527,0.3055555555555556,0.1124199874199874,0.4351851851851852,0.1810321350762527,0.8611111111111112,0.551923076923077
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_all,acdc,val,all,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,392,73,0.1862244897959183,0.8124189677501911,top20,0.6041138832825181,0.313435958543268,0.622750891055095,0.3634248312833503,0.6761283119336969,0.4068740062237383,0.6236526817537682,0.3631634857650816,0.901361274530854,0.6257582037188212,0.8873191050800876,0.5948764358139992,0.901361274530854,0.6257582037188212,0.5398720316056169,0.2035386626918844
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_all,acdc,val,all,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,336,51,0.1517857142857142,0.8124189677501911,top20,0.5066391468868249,0.2320643545202847,0.5320949432404541,0.2351023534966128,0.6161678706570347,0.3031509355721509,0.5336773305813555,0.2372462405639819,0.9283797729618164,0.7287280435567988,0.9135190918472652,0.7031827689664126,0.9283797729618164,0.7287280435567988,0.5732370141038872,0.183316314259662
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_all,acdc,val,all,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,113,19,0.168141592920354,0.8124189677501911,top20,0.3432250839865621,0.1430151671213373,0.4210526315789473,0.1711339895848155,0.5968645016797312,0.3019324494537891,0.4249720044792833,0.1722065787944628,0.9535274356103024,0.8015154275758791,0.9322508398656216,0.7826764992508324,0.9535274356103024,0.8015154275758791,0.583986562150056,0.2182602763044894
acdc,b0,dense_multi,256,9269815,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9269815,acdc_b0_latest_all,acdc,val,all,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.97,16,6,0.375,0.8124189677501911,top20,0.4833333333333333,0.3880952380952381,0.6833333333333333,0.664021164021164,0.8666666666666666,0.826388888888889,0.6833333333333333,0.664021164021164,0.9833333333333334,0.9761904761904762,0.9666666666666668,0.9583333333333334,0.9833333333333334,0.9761904761904762,0.7,0.6075757575757575
acdc,b0,dense_multi,256,9274873,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s256_j9274873,acdc_b0_dense_multi_s256_fog,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,100,20,0.2,0.6668920718660682,top20,0.4024999999999999,0.2302888722658899,0.414375,0.2322258325438728,0.39,0.2163134935575192,0.414375,0.2321815695888911,0.4375,0.1878663419834802,0.415625,0.2050485370717279,0.4375,0.1878663419834802,0.6437499999999999,0.4084304157346928
